Style Name,Primary Components,Secondary Components,Avoid Components,Match Keywords,Color Notes,Motion Notes
Minimalism & Swiss Style,"FadeContent;SplitText;Stack;DotGrid;AnimatedContent;PillNav;LineSidebar;Masonry","CountUp;TrueFocus;ScrollReveal;Threads;ShapeBlur;StaggeredMenu;Counter;Stepper;LogoLoop;Magnet","Hyperspeed;LaserFlow;GlitchText;FaultyTerminal;Ballpit;Plasma","clean,simple,spacious,essential,white-space,functional,grid,swiss,helvetica,order","Use muted colors with subtle accents. Component backgrounds: transparent or var(--color-background). Minimal borders.","Motion 1-4: subtle micro-interactions only. Fast transitions (150-200ms). Use FadeContent for scroll reveals."
Neumorphism,"BlurText;FadeContent;ShapeBlur;Stack;TiltedCard;GlassIcons;SpotlightCard","CountUp;DotGrid;PillNav;CardSwap;SoftAurora;LightPillar;GradientBlinds;Counter","GlitchText;FaultyTerminal;DecryptedText;LaserFlow;Lightning","soft,embossed,debossed,depth,light-source,rounded,monochromatic,pastel","Use pastel variants of --color-primary. Multiple soft shadows. Rounded corners everywhere (12-16px).","Motion 2-5: soft press animations (150ms). Smooth state transitions."
Glassmorphism,"GlassSurface;FluidGlass;SpotlightCard;Aurora;ReflectiveCard;GlassIcons;FadeContent;Dock","BlurText;ShinyText;Iridescence;LiquidChrome;Prism;BubbleMenu;GooeyNav;ChromaGrid;LightRays;SoftAurora","Brutalist components;Hard shadow components;Heavy dark components","glass,blur,translucent,frosted,layered,depth,reflection,backdrop-filter","Use translucent overlays: rgba(var(--color-primary-rgb), 0.15). Backdrop blur 10-20px. Light border: rgba(255,255,255,0.2).","Motion 4-7: smooth backdrop-filter transitions work well. FadeContent for scroll reveals."
Brutalism,"GlitchText;DecryptedText;Noise;GridMotion;FaultyTerminal;DecayCard;LetterGlitch;ASCIIText","SplitText;ElectricBorder;Crosshair;Dither;Grainient;LaserFlow;ClickSpark;PixelTrail;TextPressure","GlassSurface;FluidGlass;SoftAurora;Aurora;GlassIcons;LightRays","raw,bold,stark,high-contrast,visible-border,sharp,asymmetric,ugly-cute,mono","Use raw --color-primary and --color-foreground at full opacity. No gradients. Hard borders (3px+). Monospace fonts.","Motion 1-3: instant or very fast transitions (0-100ms). Avoid smooth eases. Hard cuts."
3D & Hyperrealism,"Lanyard;ModelViewer;Ribbons;Cubes;TiltedCard;CircularGallery;OrbitImages;DomeGallery","Hyperspeed;Galaxy;ProfileCard;InfiniteMenu;MetallicPaint;StarBorder;Antigravity;Strands","Minimalist flat components;2D-only components","3d,realistic,texture,lighting,depth,polygon,render,perspective,spatial","Rich textures and 3D lighting. Use realistic shadows. Physical material properties (metallic, roughness).","Motion 5-8: physics-based animation. Smooth 3D camera transitions. Realistic easing."
Vibrant & Block-based,"GradientText;ChromaGrid;ColorBends;BounceCards;FlyingPosters;FadeContent;Carousel","ShinyText;SplitText;PixelBlast;Prism;PrismaticBurst;Balatro;Ballpit;StaggeredMenu;Counter","Minimalist components;Monochromatic components;Terminal components","vibrant,bold,colorful,blocks,energetic,high-saturation,playful,expressive","High-saturation colors. Bold color blocking. Strong contrast. Use full --color-primary intensity.","Motion 4-7: energetic, bouncy animations. Spring physics. Bright color transitions."
Dark Mode (OLED),"DarkVeil;Orb;LaserFlow;ElectricBorder;GhostCursor;Crosshair;MetaBalls;BlobCursor;SplashCursor","Aurora;Iridescence;Hyperspeed;Galaxy;SideRays;Beams;Lightning;SpotlightCard;ProfileCard;ShinyText","Light-background components;White-dominant components;GlassSurface","dark,OLED,black,night,low-light,deep,neon-accent,midnight,pitch-black","Deep black (#000000 or #121212) backgrounds. Vibrant neon accents via --color-accent. Minimal glow effects. High-contrast text.","Motion 3-6: smooth dark-light transitions. Glow pulse animations. Neon flicker effects."
Accessible & Ethical,"FadeContent;SplitText;CountUp;Stepper;PillNav;Counter;TrueFocus;AnimatedContent","DotGrid;Masonry;AnimatedList;Stack;StaggeredMenu;LogoLoop;ShapeGrid","GlitchText;ScrambledText;DecryptedText;FaultyTerminal;LaserFlow;PixelTrail","accessible,inclusive,WCAG,contrast,keyboard,readable,universal,ethical","WCAG AA/AAA compliant contrast (4.5:1 min). Focus indicators (3px+). Semantic color tokens.","Motion 1-2: respect prefers-reduced-motion. No auto-play. Simple, short transitions."
Claymorphism,"FuzzyText;BounceCards;GooeyNav;Ballpit;Balatro;WaveText;FadeContent","StickerPeel;ChromaGrid;PixelCard;Folder;ShinyText;ElasticSlider;CountUp;TextPressure","Sharp/angular components;Dark-themed components;Brutalist components","chunky,playful,bubbly,soft-3d,thick-border,toy-like,rounded,whimsical,cartoon","Use pastel variants. Thick borders (3-4px) with --color-primary. Double shadows (inner+outer). Rounded-xl or full.","Motion 4-7: bouncy animations with spring physics. Playful micro-interactions. Elastic effects."
Aurora UI,"Aurora;SoftAurora;Iridescence;Prism;LightPillar;LightRays;GlassSurface;FadeContent","BlurText;ShinyText;GradientText;ColorBends;PrismaticBurst;Silk;SpotlightCard;LiquidEther","Brutalist components;Pixel components;Terminal components","aurora,borealis,gradient,soft,flowing,light,atmospheric,ethereal,color-shift","Use pastel and iridescent color palettes. Soft light gradients. Translucent overlays.","Motion 3-5: slow, flowing animations. Gradual color shifts. Gentle transitions."
