Component Name,Category,Subcategory,Description,Keywords,Visual Style,Motion Level,Dependencies,Complexity,Install Path
SplitText,Text Animations,Entrance,"Characters split and animate in with stagger","text,split,character,stagger,entrance,headline","Clean,modern,editorial",3,motion,Medium,/default/TextAnimations/SplitText
BlurText,Text Animations,Reveal,"Words/letters blur into focus on scroll","blur,text,focus,reveal,scroll,soft","Soft,atmospheric,minimal",2,none,Low,/default/TextAnimations/BlurText
CircularText,Text Animations,Artistic,"Text arranged in a circular/curved layout","circular,curved,text,artistic,creative,round","Artistic,experimental,playful",3,motion,Medium,/default/TextAnimations/CircularText
TextType,Text Animations,Terminal,"Text types out character by character like a terminal","typewriter,terminal,type,code,reveal,sequential","Terminal,retro,tech",2,none,Low,/default/TextAnimations/TextType
Shuffle,Text Animations,Cinematic,"Characters shuffle/randomize then resolve to target text","shuffle,random,resolve,cipher,transition,cinematic","Cyberpunk,cinematic,dark",4,motion,Medium,/default/TextAnimations/Shuffle
ShinyText,Text Animations,Gradient,"Metallic shimmer/shine effect across text","shiny,metallic,shimmer,gradient,luxury,premium","Premium,metallic,luxury",1,none,Low,/default/TextAnimations/ShinyText
TextPressure,Text Animations,Interactive,"Text responds to mouse proximity with distortion","pressure,proximity,distortion,mouse,interactive","Experimental,interactive,artistic",5,motion,Medium,/default/TextAnimations/TextPressure
CurvedLoop,Text Animations,Artistic,"Text follows a looping curved path","curved,loop,path,circular,continuous,creative","Minimal,modern,artistic",3,motion,Medium,/default/TextAnimations/CurvedLoop
FuzzyText,Text Animations,Interactive,"Hover distortion with fuzzy blur effect on text","fuzzy,blur,hover,interactive,playful,soft","Playful,soft,approachable",2,none,Low,/default/TextAnimations/FuzzyText
GradientText,Text Animations,Gradient,"Animated gradient flowing across text fill","gradient,color,animated,fill,smooth,vibrant","Vibrant,smooth,modern",2,none,Low,/default/TextAnimations/GradientText
FallingText,Text Animations,Entrance,"Characters fall into place from above","falling,drop,entrance,gravity,character,stagger","Experimental,playful,dynamic",4,motion,Medium,/default/TextAnimations/FallingText
TextCursor,Text Animations,Terminal,"Blinking text cursor animation effect","cursor,blink,terminal,caret,code,typing","Terminal,retro,minimal",1,none,Low,/default/TextAnimations/TextCursor
DecryptedText,Text Animations,Matrix,"Characters scramble then decrypt to reveal text","decrypt,matrix,reveal,code,hacker,scramble","Cyberpunk,terminal,dark",4,none,Medium,/default/TextAnimations/DecryptedText
TrueFocus,Text Animations,Interactive,"Words in a sentence come into focus on hover/interaction","focus,blur,sentence,interactive,depth,highlight","Clean,engaging,editorial",2,none,Low,/default/TextAnimations/TrueFocus
ScrollFloat,Text Animations,Scroll,"Text floats/parallax-scrolls into view","scroll,float,parallax,reveal,drift,gentle","Minimal,modern,elegant",3,motion,Medium,/default/TextAnimations/ScrollFloat
ScrollReveal,Text Animations,Scroll,"Text reveals progressively as user scrolls","scroll,reveal,progressive,unveil,entrance,sequence","Minimal,modern,professional",3,motion,Medium,/default/TextAnimations/ScrollReveal
ASCIIText,Text Animations,Artistic,"Text rendered as ASCII art characters","ascii,art,retro,monospace,text-art,conversion","Brutalism,terminal,retro",3,three,High,/default/TextAnimations/ASCIIText
